0,SMILES,Kh_mean,Kh_first,Varying_1,Varying_2,Varying_3,Varying_4,Varying_5,Varying_6,Varying_7,Varying_8,Varying_9,wt,logp,fraction_sp3,ali_homo_rings,ali_hetero_rings,amide_bonds,aro_homo_rings,aro_hetero_rings,hba,hbd,tpsa,asph,ecce,isf,npr1,npr2,pmi1,pmi2,pmi3,rog,si
1-pentyl nitrate,CCCCCO[N+]([O-])=O,4.721767129571948,4.721767129571948,0,0,0,0,0,0,0,0,0,133.073893212,1.3849,1.0,0,0,0,0,0,3,0,52.37,0.5433551276806526,0.9822305505832784,0.006206156888867958,0.1876783032235472,0.9418720156468318,151.76413237897293,761.6351320931032,808.6397296452739,2.5429674433654754,0.28388404992402766
2-pentyl nitrate,CCCC(C)O[N+]([O-])=O,5.608555450727995,5.608555450727995,0,0,0,0,0,0,0,0,0,133.073893212,1.3833,1.0,0,0,0,0,0,3,0,52.37,0.23720250887449246,0.9173994738671963,0.0030487822176758477,0.3979675933391959,0.7556706752854465,247.8598408585283,470.6423750389832,622.8141311176367,2.244320715613628,0.2539530682004034
3-pentyl nitrate,CCC(CC)O[N+]([O-])=O,5.572754212249797,5.572754212249797,0,0,0,0,0,0,0,0,0,133.073893212,1.3833,1.0,0,0,0,0,0,3,0,52.37,0.21684097122306892,0.9049906112577678,0.002767782073723818,0.4254315380120425,0.7117067855356304,257.13974820932657,430.17051459480854,604.4209825413739,2.202446621984201,0.2868222670767508
3-methyl-1-butanol nitrate,CC(C)CCO[N+]([O-])=O,5.298317366548036,5.298317366548036,0,0,0,0,0,0,0,0,0,133.073893212,1.2408,1.0,0,0,0,0,0,3,0,52.37,0.5429195226575456,0.9816295223307819,0.007044289485778236,0.19079696247225894,0.9831886753296163,139.57244052996154,719.225511449778,731.5233886401875,2.443778011308163,0.38714775908077415
1-hexyl nitrate,CCCCCCO[N+]([O-])=O,4.879607031689852,4.879607031689852,0,0,0,0,0,0,0,0,0,147.089543276,1.775,1.0,0,0,0,0,0,3,0,52.37,0.37952572244861765,0.9594353550243981,0.0035145343147522695,0.2819287135593095,0.8737570240739708,248.6124606626752,770.5028729917859,881.8273865190198,2.5412884975305547,0.3177529780391063
2-nitrooxyethanol,OCCO[N+]([O-])=O,-5.959652867522877,-5.959652867522877,0,0,0,0,0,0,0,0,0,107.02185764000001,-0.813,1.0,0,0,0,0,0,4,1,72.6,0.6874488807201652,0.9930204462587671,0.016129888714960662,0.11794233045026394,0.8985373665826929,55.70635870223265,424.3959285790337,472.31861952841365,2.1089957354708107,0.20663482882307382
1-nitrooxy-2-propanol,CC(O)CO[N+]([O-])=O,-4.309222142177549,-4.309222142177549,0,0,0,0,0,0,0,0,0,121.037507704,-0.4245000000000001,1.0,0,0,0,0,0,4,1,72.6,0.5605176169811626,0.9842041165869818,0.00868246160745925,0.1770374448901658,0.8834182525784844,101.74744128088338,507.7205380842173,574.7227166772973,2.2112512852978528,0.2808756928157453
2-nitrooxy-1-propanol,CC(CO)O[N+]([O-])=O,-4.160768546598571,-4.160768546598571,0,0,0,0,0,0,0,0,0,121.037507704,-0.42450000000000004,1.0,0,0,0,0,0,4,1,72.6,0.4032003660509435,0.9638752873367236,0.006978439661414687,0.26635395709759707,0.8759963753781791,125.52897465342487,412.8451028082418,471.2863139759125,2.0418081629842884,0.37202721077464423
1-nitrooxy-2-butanol,CCC(O)CO[N+]([O-])=O,-4.265843818783345,-4.265843818783345,0,0,0,0,0,0,0,0,0,135.053157768,-0.03440000000000004,1.0,0,0,0,0,0,4,1,72.6,0.5086310503909997,0.9785171427757305,0.006857664464413282,0.20616547066378638,0.9363868739894782,136.54603237716037,620.1810225623503,662.3128108578326,2.2915223066213626,0.394291029488246
2-nitrooxy-1-butanol,CCC(CO)O[N+]([O-])=O,-4.277437129191963,-4.277437129191963,0,0,0,0,0,0,0,0,0,135.053157768,-0.03440000000000004,1.0,0,0,0,0,0,4,1,72.6,0.16122950814757578,0.8650038375873522,0.002468728522180084,0.5017652448697035,0.6779214929244803,274.603500074533,371.00938463993504,547.2748518997981,2.1010025422039966,0.27412413397628854
2-nitrooxy-3-butanol,CC(O)C(C)O[N+]([O-])=O,-4.605170185988091,-4.605170185988091,0,0,0,0,0,0,0,0,0,135.053157768,-0.03600000000000003,1.0,0,0,0,0,0,4,1,72.6,0.2747831885810436,0.9313781454872995,0.004646801193082585,0.36405322427996534,0.9096838714913651,195.76561029672564,489.172479193987,537.7389822159008,2.1270743720174266,0.5625389802830763
1-nitrooxy-2-propanone,CC(=O)CO[N+]([O-])=O,-2.3025850929940455,-2.3025850929940455,0,0,0,0,0,0,0,0,0,119.02185764000001,-0.21630000000000005,0.6666666666666666,0,0,0,0,0,4,0,69.44,0.5955571550373716,0.9870790525807129,0.00935311897015759,0.16023402870914275,0.8512865977613703,91.01633374679794,483.5488798491656,568.0212529138305,2.190369690951785,0.1411632822961873
"1,2-ethanediol dinitrate",[O-][N+](=O)OCCO[N+]([O-])=O,-1.3182968852234904,-1.3182968852234904,1,1,0,0,0,0,0,0,0,152.00693584799998,-0.597,1.0,0,0,0,0,0,6,0,104.74000000000001,0.7923191959483521,0.9971985359773716,0.010084241811749953,0.07480026634034576,0.9303978858731652,92.26255213248503,1147.6013074438201,1233.4521873583285,2.8517697677301297,0.1077298302516114
"1,2-propanediol dinitrate",CC(CO[N+]([O-])=O)O[N+]([O-])=O,-0.11311261749953663,-0.11311261749953663,1,0,0,0,0,0,0,0,0,166.022585912,-0.20850000000000013,1.0,0,0,0,0,0,6,0,104.74000000000001,0.278130922204583,0.9338509643086235,0.0026328204351224968,0.3576623777528943,0.8084191086584444,307.05440366305544,694.0306354794644,858.503501520634,2.3660449859018513,0.285902887195052
"1,3-propanediol dinitrate",[O-][N+](=O)OCCCO[N+]([O-])=O,-0.2623642644674911,-0.2623642644674911,0,0,0,0,0,0,0,0,0,166.02258591199998,-0.2069000000000003,1.0,0,0,0,0,0,6,0,104.74000000000001,0.629506040447821,0.989329124755883,0.005092670639741465,0.14569791662806517,0.9646914384252131,189.4274157250795,1254.2321152023771,1300.13812214382,2.874025434150796,0.28232584413260475
"1,2-butanediol dinitrate",CCC(CO[N+]([O-])=O)O[N+]([O-])=O,1.5606477482646683,1.5606477482646683,0,0,0,0,0,0,0,0,0,180.038235976,0.18159999999999987,1.0,0,0,0,0,0,6,0,104.74000000000001,0.24470209040725355,0.9217281664870232,0.0018092087700946147,0.3878365468911748,0.7918745662664358,437.69109422624774,893.6662833282317,1128.5452537536694,2.61317090358544,0.33837920072649585
"1,3-butanediol dinitrate",CC(CCO[N+]([O-])=O)O[N+]([O-])=O,0.5621189181535412,0.5621189181535412,0,0,0,0,0,0,0,0,0,180.038235976,0.18159999999999987,1.0,0,0,0,0,0,6,0,104.74000000000001,0.6895950701120609,0.9931063703817744,0.005095509275239923,0.11721662470459482,0.9332363948677684,183.14879719727855,1458.164519337642,1562.4814113087086,2.9822304245484363,0.2735596442448951
"1,4-butanediol dinitrate",[O-][N+](=O)OCCCCO[N+]([O-])=O,-0.4700036292457356,-0.4700036292457356,0,0,0,0,0,0,0,0,0,180.038235976,0.1831999999999998,1.0,0,0,0,0,0,6,0,104.74000000000001,0.8118106380323268,0.9977013735960131,0.006767079195458866,0.06776406956956497,0.983597885869855,145.35043221156783,2109.7667058912675,2144.9483942571446,3.4949295656472925,0.16836719551158774
"2,3-butanediol dinitrate",CC(O[N+]([O-])=O)C(C)O[N+]([O-])=O,2.120263536200091,2.120263536200091,0,0,0,0,0,0,0,0,0,180.038235976,0.17999999999999994,1.0,0,0,0,0,0,6,0,104.74000000000001,0.5003683410572277,0.9764922665723414,0.004013353658927623,0.2155524375283452,0.9941252507721726,247.70437276584417,1142.409589596159,1149.1606200615151,2.654994881209469,0.37321329817202936
"1,5-pentanediol dinitrate",[O-][N+](=O)OCCCCCO[N+]([O-])=O,-0.1823215567939546,-0.1823215567939546,0,0,0,0,0,0,0,0,0,194.05388603999998,0.5732999999999998,1.0,0,0,0,0,0,6,0,104.74000000000001,0.6366252685344705,0.9900725796912226,0.002760287688315358,0.14055705938716673,0.9008328954977625,326.35471270299126,2091.6136271304085,2321.866394515567,3.4938618901432688,0.16252439181752298
peroxyacetyl nitrate,CC(=O)OO[N+]([O-])=O,3.423131414019955,3.423131414019955,0,0,0,0,0,0,0,0,0,121.00112219600001,-0.32720000000000016,0.5,0,0,0,0,0,5,0,78.66999999999999,0.44971602037083575,0.9703729029936689,0.009496535899888688,0.24161214608466933,0.951688855664192,100.21431664101299,394.7353221713973,414.7735048299037,1.9384777243384994,0.22138705639499703
peroxypropionyl nitrate,CCC(=O)OO[N+]([O-])=O,3.540459448995663,3.540459448995663,0,0,0,0,0,0,0,0,0,135.01677226,0.06289999999999996,0.6666666666666666,0,0,0,0,0,5,0,78.66999999999999,0.550838407541702,0.9824428170702447,0.008627374986635362,0.1865639600434171,0.9833369536689762,113.97869632330348,600.7562446660946,610.9363046152022,2.2152126981815345,0.2273630642220923
nitro butaneperoxoate,CCCC(=O)OO[N+]([O-])=O,3.7722610630529876,3.7722610630529876,0,0,0,0,0,0,0,0,0,149.032422324,0.45299999999999996,0.75,0,0,0,0,0,5,0,78.66999999999999,0.6597941845081571,0.9911982297353025,0.008093421995187004,0.1323860618403702,0.9817218050817733,121.29872947012815,899.5026061967711,916.2500023332439,2.548671327747317,0.20328206064133592
peroxy-2-propenoyl nitrate,CC(=C)C(=O)OO[N+]([O-])=O,4.074541934925921,4.074541934925921,0,0,0,0,0,0,0,0,0,147.01677226,0.22899999999999998,0.25,0,0,0,0,0,5,0,78.66999999999999,0.48545509653529906,0.9759312494847073,0.005745528161158747,0.21807841772907682,0.9154757994913023,159.33710075257397,668.8844371628977,730.6413097261263,2.3019892263537285,0.15082117814397575
peroxy-isobutyryl nitrate,CC(C)C(=O)OO[N+]([O-])=O,4.615220521841593,4.615220521841593,0,0,0,0,0,0,0,0,0,149.032422324,0.30889999999999995,0.75,0,0,0,0,0,5,0,78.66999999999999,0.511577323554955,0.9785041563944072,0.006136965541076988,0.20622709792573238,0.9613968076292309,156.65670618390232,730.3077953080264,759.6320161587997,2.3498322719399605,0.2362508261414758
isocyanic acid,N=C=O,1.5606477482646683,1.5606477482646683,0,0,0,0,0,0,0,0,0,43.005813652,-0.09903,0.0,0,0,0,0,0,2,1,40.92,0.9414344689692574,0.9998016051249438,1.1086789475808003,0.019918594066500265,0.980081405933505,0.8840083128412403,43.497051409039365,44.38105972188037,1.0156367205912629,5.19758456248612e-15
3-hydroxybenzoic acid nitrile,Oc1cccc(c1)C#N,-8.242756345714477,-8.242756345714477,0,0,0,0,0,0,0,0,0,119.03711378,1.26388,0.0,0,0,0,1,0,2,1,44.019999999999996,0.42073585009020514,0.9652203406779907,0.0049766460335969615,0.26143774391136343,0.7385622560891036,148.40562320549333,419.2462429147917,567.6518661200199,2.1829471624033774,1.6733845129548943e-12
4-hydroxybenzoic acid nitrile,Oc1ccc(cc1)C#N,-9.392661928770137,-9.392661928770137,0,0,0,0,0,0,0,0,0,119.03711378,1.26388,0.0,0,0,0,1,0,2,1,44.019999999999996,0.6181375957263661,0.9887319927702712,0.009452279228478312,0.14969651456372762,0.8503034854368047,89.95750811877909,510.9750411860411,600.9325493045003,2.2460274149373647,1.1287063629173303e-12
cyometrinil,N#CCO/N=C(C#N)/c1ccccc1,-9.305650551780507,-9.305650551780507,0,0,0,0,0,0,0,0,0,185.058911844,1.4544599999999999,0.1,0,0,0,1,0,4,0,69.16999999999999,0.6222086046135483,0.9890300365324033,0.003014143845768838,0.14771454510884552,0.8539512558241737,283.3146988067355,1637.8681101524887,1917.9878230540612,3.2195830626479323,0.01923927196251666
nitromethane,C[N+]([O-])=O,1.5338560953238833,1.5338560953238833,1,1,0,0,0,0,0,0,0,61.016378336,-0.10710000000000008,1.0,0,0,0,0,0,2,0,43.14,0.22616052603890854,0.8742889030701344,0.013124114815489748,0.4854059270017427,0.5524474083897751,42.09407005017577,47.90786147057856,86.71931616118204,1.203156507117318,0.35836304662723634
nitroethane,CC[N+]([O-])=O,1.2367077481778728,1.2367077481778728,1,0,0,0,0,0,0,0,0,75.0320284,0.2829999999999999,1.0,0,0,0,0,0,2,0,43.14,0.24756911081384364,0.923176507051716,0.014381516590373275,0.3843762958713673,0.8128481383252896,56.520335196734074,119.5246682369857,147.0442787545067,1.4669717410872434,0.601762277405887
1-nitropropane,CCC[N+]([O-])=O,2.0321037725035387,2.0321037725035387,0,0,0,0,0,0,0,0,0,89.047678464,0.6731,1.0,0,0,0,0,0,2,0,43.14,0.2683288253136918,0.9302933903509792,0.010449048902219467,0.36681631352664856,0.8717122276386204,83.42503090912527,198.25350414610494,227.42999106844408,1.6903084342478747,0.5039311646369655
2-nitropropane,CC(C)[N+]([O-])=O,2.4375542760015754,2.4375542760015754,0,0,0,0,0,0,0,0,0,89.047678464,0.6715,1.0,0,0,0,0,0,2,0,43.14,0.12844792753224865,0.8475195830774276,0.009477729127680438,0.530764124918276,0.9421032867266841,99.40179488514806,176.43761752407224,187.28054557276903,1.6121577001397973,0.5201281039667138
1-nitrobutane,CCCC[N+]([O-])=O,2.5902671654458267,2.5902671654458267,0,0,0,0,0,0,0,0,0,103.063328528,1.0632000000000001,1.0,0,0,0,0,0,2,0,43.14,0.6160973030117137,0.9883861925749609,0.013348832566264457,0.1519629373471452,0.9613724907912673,72.01921861098737,455.6196187674338,473.92620772041386,2.2036926532547145,0.31325971458017204
1-nitropentane,CCCCC[N+]([O-])=O,3.0576076772720784,3.0576076772720784,0,0,0,0,0,0,0,0,0,117.078978592,1.4533,1.0,0,0,0,0,0,2,0,43.14,0.602942703544513,0.9874531476508561,0.00900045981005334,0.15791225789791175,0.9523529784410554,105.81159168971517,638.1390896483513,670.0657257280243,2.4566584876810085,0.29333288665688556
nitrobenzene,[O-][N+](=O)c1ccccc1,1.05451034954427,1.05451034954427,1,1,1,0,0,0,0,0,0,123.0320284,1.5948,0.0,0,0,0,1,0,2,0,43.14,0.4474613045190406,0.9699146872234748,0.005903141319472086,0.243445064661802,0.7565549354513624,128.16141347587129,398.2875973858547,526.4490108021507,2.0679009251395137,1.0306859681054943e-10
nitrobenzene-d5,[O-][N+](=O)c1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H],0.16251892949777474,0.16251892949777474,0,0,0,0,0,0,0,0,0,128.06341213,1.5948,0.0,0,0,0,1,0,2,0,43.14,0.42618662782598926,0.9662357566403894,0.005051910911203151,0.25765958664403354,0.7423404134093562,146.94249887960953,423.3545383909709,570.2970372401325,2.1096268337619377,6.710943215064245e-11
2-nitrotoluene,Cc1ccccc1[N+]([O-])=O,1.5238763441937995,1.5238763441937995,1,1,0,0,0,0,0,0,0,137.047678464,1.9032200000000001,0.14285714285714285,0,0,0,1,0,2,0,43.14,0.27538019768370536,0.9279442733319717,0.0031333205416038093,0.37271896328252363,0.6981816055578765,222.8248263423786,417.39812121110685,597.836032757678,2.124597977719438,0.08627240380592191
3-nitrotoluene,Cc1cccc(c1)[N+]([O-])=O,1.277470302188557,1.277470302188557,1,1,0,0,0,0,0,0,0,137.047678464,1.90322,0.14285714285714285,0,0,0,1,0,2,0,43.14,0.408746508148341,0.9630663778397157,0.003859875396501686,0.2692640931774788,0.7353051216683681,190.4997042999875,520.2156982578558,707.4827618193575,2.2739167244690783,0.043540311911086683
4-nitrotoluene,Cc1ccc(cc1)[N+]([O-])=O,0.6223973994230956,0.6223973994230956,1,1,0,0,0,0,0,0,0,137.047678464,1.90322,0.14285714285714285,0,0,0,1,0,2,0,43.14,0.5677282689054377,0.9846800005966837,0.006322423409868913,0.17437114562023992,0.8299220236316688,131.26644165213796,624.7645532371012,752.7991009362352,2.345450466256741,0.04191354193594225
"1,3-dinitrobenzene",[O-][N+](=O)c1cccc(c1)[N+]([O-])=O,-5.298317366548036,-5.298317366548036,0,0,0,0,0,0,0,0,0,168.017106608,1.503,0.0,0,0,0,1,0,4,0,86.28,0.45725022346138106,0.9714699269865028,0.0029215141014633746,0.23716277313448456,0.7628372269703081,261.1102327345283,839.8645505794898,1100.974783198644,2.559142653655132,1.0795764061317162e-10
